id,original_question,supplement_query_1,supplement_query_2,supplement_query_3
21,"Không có giấy phép lái xe máy bị phạt bao nhiêu?","Hành vi điều khiển xe mô tô không có giấy phép lái xe theo quy định","Mức phạt tiền đối với người lái xe máy không có giấy phép lái xe hạng phù hợp","Quy định xử phạt không có giấy phép lái xe khác với không mang theo giấy phép lái xe"
22,"Quên mang giấy phép lái xe có bị phạt không?","Hành vi không mang theo giấy phép lái xe khi điều khiển phương tiện giao thông","Mức phạt tiền đối với người điều khiển xe máy ô tô không xuất trình được giấy phép lái xe","Phân biệt lỗi không mang giấy phép lái xe và lỗi không có giấy phép lái xe"
23,"Có giấy phép lái xe nhưng hết hạn thì bị xử lý thế nào?","Hành vi sử dụng giấy phép lái xe hết hạn khi điều khiển phương tiện","Mức phạt tiền đối với người điều khiển ô tô có giấy phép lái xe quá hạn sử dụng","Quy định xử phạt giấy phép lái xe không còn hiệu lực theo thời hạn sử dụng"
24,"Dùng giấy phép lái xe không phù hợp với loại xe bị phạt ra sao?","Hành vi điều khiển phương tiện có giấy phép lái xe nhưng không phù hợp với loại xe đang điều khiển","Mức phạt tiền đối với lái xe sử dụng giấy phép lái xe không đúng hạng xe","Quy định xử phạt người điều khiển xe không có giấy phép lái xe phù hợp với loại phương tiện"
25,"Người chưa đủ tuổi lái xe máy bị xử phạt thế nào?","Hành vi người chưa đủ tuổi điều khiển xe mô tô xe gắn máy tham gia giao thông","Mức phạt cảnh cáo hoặc phạt tiền đối với người chưa đủ tuổi lái xe máy","Quy định độ tuổi điều khiển xe gắn máy xe mô tô và trách nhiệm xử phạt"
26,"Người giao xe cho người chưa đủ tuổi điều khiển có bị phạt không?","Hành vi giao xe hoặc để cho người không đủ điều kiện về độ tuổi điều khiển phương tiện","Mức phạt tiền đối với chủ xe giao xe cho người chưa đủ tuổi lái xe","Trách nhiệm của chủ phương tiện khi giao xe cho người không đủ điều kiện tham gia giao thông"
27,"Điều khiển ô tô khi chưa có bằng lái bị xử lý thế nào?","Hành vi điều khiển xe ô tô không có giấy phép lái xe theo quy định","Mức phạt tiền đối với người lái ô tô chưa có bằng lái xe","Quy định xử phạt người điều khiển ô tô không có giấy phép lái xe hoặc giấy phép không hợp lệ"
28,"Bằng lái xe máy hạng A1 được điều khiển loại xe nào?","Phạm vi điều khiển phương tiện của giấy phép lái xe hạng A1","Quy định hạng giấy phép lái xe A1 đối với xe mô tô hai bánh có dung tích xi lanh hoặc công suất điện","Điều kiện loại xe được phép điều khiển khi có giấy phép lái xe máy hạng A1"
29,"Bằng lái xe ô tô hết hạn có được tiếp tục lái xe không?","Quy định giấy phép lái xe ô tô hết hạn không còn giá trị sử dụng khi điều khiển xe","Mức phạt đối với người điều khiển ô tô sử dụng giấy phép lái xe hết hạn","Điều kiện đổi cấp lại giấy phép lái xe ô tô quá thời hạn sử dụng"
30,"Khi bị tước giấy phép lái xe mà vẫn điều khiển xe thì bị xử lý thế nào?","Hành vi điều khiển phương tiện trong thời gian bị tước quyền sử dụng giấy phép lái xe","Mức phạt đối với người đang bị tước giấy phép lái xe nhưng vẫn lái xe máy hoặc ô tô","Quy định xử phạt vi phạm tương tự không có giấy phép lái xe trong thời gian bị tước quyền sử dụng"
31,"Lái xe máy có nồng độ cồn bị phạt thế nào?","Hành vi điều khiển xe mô tô trong máu hoặc hơi thở có nồng độ cồn","Mức phạt tiền theo các mức nồng độ cồn đối với người lái xe máy","Hình phạt bổ sung tước giấy phép lái xe hoặc trừ điểm đối với xe máy vi phạm nồng độ cồn"
32,"Lái ô tô sau khi uống rượu bia bị xử phạt ra sao?","Hành vi điều khiển xe ô tô trong máu hoặc hơi thở có nồng độ cồn","Mức phạt tiền theo ngưỡng nồng độ cồn đối với tài xế ô tô","Hình phạt bổ sung tước giấy phép lái xe hoặc trừ điểm đối với ô tô vi phạm nồng độ cồn"
33,"Nồng độ cồn bao nhiêu thì bị tước giấy phép lái xe?","Các mức nồng độ cồn dẫn đến tước quyền sử dụng giấy phép lái xe","Thời hạn tước giấy phép lái xe đối với người điều khiển xe máy ô tô có nồng độ cồn","Quy định xử phạt bổ sung theo từng mức nồng độ cồn trong máu hoặc hơi thở"
34,"Từ chối kiểm tra nồng độ cồn có bị xử phạt không?","Hành vi không chấp hành yêu cầu kiểm tra nồng độ cồn của người thi hành công vụ","Mức phạt tiền đối với người điều khiển phương tiện từ chối kiểm tra nồng độ cồn","Hình phạt bổ sung đối với hành vi chống đối hoặc không tuân thủ kiểm tra nồng độ cồn"
35,"Đi xe đạp sau khi uống rượu bia có bị phạt không?","Hành vi điều khiển xe đạp xe đạp máy trong máu hoặc hơi thở có nồng độ cồn","Mức phạt tiền đối với người đi xe đạp sau khi sử dụng rượu bia","Quy định xử phạt nồng độ cồn áp dụng cho phương tiện thô sơ"
36,"Lái xe máy có nồng độ cồn dưới mức cao nhất thì bị phạt bao nhiêu?","Mức phạt nồng độ cồn chưa vượt quá mức cao nhất đối với người điều khiển xe máy","Các ngưỡng xử phạt nồng độ cồn thấp và trung bình đối với xe mô tô","Hình phạt bổ sung tương ứng với từng mức nồng độ cồn dưới mức cao nhất khi lái xe máy"
37,"Lái ô tô có nồng độ cồn vượt mức quy định cao nhất bị xử lý thế nào?","Hành vi điều khiển ô tô có nồng độ cồn vượt quá mức cao nhất theo quy định","Mức phạt tiền cao nhất đối với tài xế ô tô vi phạm nồng độ cồn","Thời hạn tước giấy phép lái xe đối với ô tô có nồng độ cồn vượt ngưỡng cao nhất"
39,"Uống bia rồi dắt xe máy bộ có bị xử phạt nồng độ cồn không?","Điều kiện xác định hành vi điều khiển xe máy khi xử phạt nồng độ cồn","Quy định xử phạt nồng độ cồn chỉ áp dụng với người đang điều khiển phương tiện giao thông","Phân biệt dắt bộ xe máy và điều khiển xe máy trong vi phạm nồng độ cồn"
40,"Người ngồi trên xe máy có uống rượu bia có bị phạt không?","Đối tượng bị xử phạt nồng độ cồn là người điều khiển phương tiện hay người ngồi sau xe máy","Quy định xử phạt người tham gia giao thông có nồng độ cồn khi không điều khiển xe","Trách nhiệm xử phạt đối với người ngồi trên xe máy đã uống rượu bia nhưng không lái xe"
41,"Xe máy chạy quá tốc độ 5 km/h có bị xử phạt không?","Ngưỡng tốc độ vượt quá quy định bị xử phạt đối với xe mô tô xe gắn máy","Mức phạt đối với xe máy chạy quá tốc độ dưới 5 km/h hoặc từ 5 km/h trở lên","Quy định xử phạt tốc độ theo mức vượt quá tốc độ cho phép của xe máy"
42,"Xe máy chạy quá tốc độ từ 10 đến 20 km/h bị phạt bao nhiêu?","Hành vi điều khiển xe máy chạy quá tốc độ quy định từ 10 km/h đến 20 km/h","Mức phạt tiền đối với xe mô tô chạy quá tốc độ từ 10 đến 20 km/h","Hình phạt bổ sung đối với xe máy chạy quá tốc độ trong khung từ 10 đến 20 km/h"
43,"Ô tô chạy quá tốc độ trên 20 km/h bị xử lý thế nào?","Hành vi điều khiển xe ô tô chạy quá tốc độ quy định trên 20 km/h","Mức phạt tiền đối với tài xế ô tô vượt quá tốc độ cho phép trên 20 km/h","Hình phạt bổ sung tước giấy phép lái xe hoặc trừ điểm khi ô tô chạy quá tốc độ trên 20 km/h"
44,"Chạy quá tốc độ có bị tước giấy phép lái xe không?","Các trường hợp chạy quá tốc độ bị áp dụng hình phạt bổ sung tước giấy phép lái xe","Thời hạn tước quyền sử dụng giấy phép lái xe đối với vi phạm tốc độ","Quy định trừ điểm hoặc tước giấy phép theo mức vượt quá tốc độ cho phép"
45,"Quy định về tốc độ tối đa trong khu dân cư là gì?","Tốc độ tối đa cho phép của xe cơ giới trong khu vực đông dân cư","Quy định tốc độ tối đa trong khu dân cư theo loại đường và loại phương tiện","Căn cứ pháp luật về tốc độ xe ô tô xe máy khi lưu thông trong khu đông dân cư"
46,"Xe máy chạy quá tốc độ gây tai nạn thì bị xử lý ra sao?","Hành vi xe máy chạy quá tốc độ gây tai nạn giao thông","Mức phạt tiền và hình phạt bổ sung đối với xe máy vượt tốc độ gây tai nạn","Trường hợp chạy quá tốc độ gây tai nạn bị xem xét trách nhiệm hành chính hoặc hình sự"
47,"Ô tô không giảm tốc độ khi qua nơi giao nhau bị phạt không?","Hành vi điều khiển ô tô không giảm tốc độ hoặc không nhường đường khi đến nơi đường giao nhau","Mức phạt đối với tài xế ô tô không giảm tốc độ tại nơi giao nhau đường bộ","Quy định an toàn giao thông khi ô tô đi qua nơi giao nhau đường bộ"
48,"Không giữ khoảng cách an toàn khi lái xe bị xử phạt thế nào?","Hành vi không giữ khoảng cách an toàn với xe chạy liền trước khi điều khiển phương tiện","Mức phạt tiền đối với xe máy ô tô không bảo đảm khoảng cách an toàn","Hình phạt bổ sung khi không giữ khoảng cách an toàn gây tai nạn giao thông"
49,"Xe chạy dưới tốc độ tối thiểu trên cao tốc có bị phạt không?","Hành vi điều khiển xe chạy dưới tốc độ tối thiểu trên đường cao tốc","Mức phạt đối với phương tiện chạy chậm hơn tốc độ tối thiểu ghi trên biển báo cao tốc","Quy định tốc độ tối thiểu và làn đường trên đường cao tốc"
50,"Xe máy có được chạy vào đường cao tốc không?","Quy định cấm xe mô tô xe gắn máy đi vào đường cao tốc","Mức phạt đối với người điều khiển xe máy đi vào đường cao tốc","Hình phạt bổ sung khi xe máy đi vào đường cao tốc gây tai nạn hoặc mất an toàn"
51,"Ô tô dừng đỗ sai nơi quy định bị phạt bao nhiêu?","Hành vi dừng xe đỗ xe ô tô không đúng nơi quy định trên đường bộ","Mức phạt tiền đối với tài xế ô tô dừng đỗ sai quy định","Quy định xử phạt dừng đỗ xe ô tô tại nơi cấm dừng cấm đỗ gây cản trở giao thông"
52,"Dừng xe trên cầu có bị xử phạt không?","Hành vi dừng xe đỗ xe trên cầu hoặc gầm cầu vượt trái quy định","Mức phạt tiền đối với xe máy ô tô dừng đỗ trên cầu","Quy định các vị trí không được dừng xe đỗ xe theo luật giao thông đường bộ"
53,"Đỗ xe trước cổng cơ quan, trường học có vi phạm không?","Hành vi đỗ xe trước cổng hoặc trong phạm vi ra vào của cơ quan tổ chức trường học","Mức phạt đối với dừng xe đỗ xe gây cản trở lối ra vào cơ quan trường học","Quy định vị trí cấm đỗ xe và cấm dừng xe trong khu vực công cộng"
54,"Dừng xe tại nơi có biển cấm dừng cấm đỗ bị xử phạt thế nào?","Hành vi dừng xe đỗ xe tại nơi có biển cấm dừng xe hoặc cấm đỗ xe","Mức phạt tiền đối với người điều khiển phương tiện không chấp hành biển cấm dừng cấm đỗ","Hình phạt bổ sung khi dừng đỗ xe tại nơi cấm gây ùn tắc hoặc tai nạn giao thông"
55,"Đỗ xe trên vỉa hè có bị phạt không?","Hành vi đỗ xe trên hè phố trái quy định hoặc chiếm dụng vỉa hè","Mức phạt đối với xe máy ô tô đỗ trên vỉa hè không đúng nơi được phép","Quy định sử dụng hè phố lòng đường và xử phạt đỗ xe trên vỉa hè"
56,"Mở cửa ô tô gây tai nạn bị xử lý thế nào?","Hành vi mở cửa xe ô tô không bảo đảm an toàn gây tai nạn giao thông","Mức phạt tiền đối với tài xế hoặc người ngồi trên ô tô mở cửa xe gây nguy hiểm","Trách nhiệm hành chính hoặc hình sự khi mở cửa ô tô gây tai nạn cho người khác"
57,"Xe máy dừng đỗ dưới lòng đường gây cản trở giao thông bị phạt ra sao?","Hành vi dừng xe đỗ xe máy dưới lòng đường gây cản trở giao thông","Mức phạt tiền đối với xe mô tô dừng đỗ không đúng quy định gây cản trở","Biện pháp xử lý khi xe máy dừng đỗ dưới lòng đường làm ùn tắc hoặc mất an toàn giao thông"
58,"Đỗ xe không sát lề đường có bị xử phạt không?","Hành vi đỗ xe không sát theo lề đường hè phố bên phải theo chiều đi","Mức phạt đối với ô tô đỗ xe cách xa lề đường hoặc đỗ không đúng vị trí quy định","Quy định kỹ thuật dừng xe đỗ xe trên đường bộ và khoảng cách với lề đường"
59,"Tài xế taxi dừng đón khách ở nơi cấm dừng bị xử lý thế nào?","Hành vi taxi dừng đón trả khách tại nơi có biển cấm dừng cấm đỗ","Mức phạt đối với xe kinh doanh vận tải dừng đón khách sai nơi quy định","Quy định xử phạt tài xế taxi dừng xe gây cản trở giao thông hoặc không đúng điểm đón trả khách"
60,"Dừng xe trên phần đường dành cho người đi bộ bị phạt không?","Hành vi dừng xe đỗ xe trên vạch qua đường hoặc phần đường dành cho người đi bộ","Mức phạt tiền đối với phương tiện dừng đỗ trên nơi người đi bộ qua đường","Quy định vị trí cấm dừng xe đỗ xe liên quan đến người đi bộ"
61,"Xe không có đăng ký xe bị xử phạt thế nào?","Hành vi điều khiển phương tiện không có giấy đăng ký xe theo quy định","Mức phạt tiền đối với xe máy ô tô không có chứng nhận đăng ký xe","Biện pháp xử lý phương tiện không có đăng ký xe khi tham gia giao thông"
62,"Quên mang đăng ký xe bị phạt bao nhiêu?","Hành vi không mang theo giấy đăng ký xe khi điều khiển phương tiện","Mức phạt tiền đối với người lái xe không xuất trình được đăng ký xe","Phân biệt lỗi không mang đăng ký xe và lỗi không có đăng ký xe"
63,"Xe không có biển số bị xử lý ra sao?","Hành vi điều khiển xe không gắn biển số theo quy định","Mức phạt tiền đối với xe máy ô tô không có biển số khi tham gia giao thông","Quy định xử phạt chủ phương tiện đưa xe không có biển số vào lưu thông"
64,"Che biển số xe có bị xử phạt không?","Hành vi che lấp biển số làm biển số không rõ chữ số hoặc thay đổi màu sắc biển số","Mức phạt tiền đối với xe máy ô tô che biển số khi tham gia giao thông","Quy định xử phạt gắn biển số không đúng quy định hoặc biển số bị che khuất"
65,"Sử dụng biển số giả bị xử lý thế nào?","Hành vi sử dụng biển số xe không do cơ quan có thẩm quyền cấp","Mức phạt tiền đối với xe máy ô tô gắn biển số giả","Biện pháp tịch thu biển số không hợp lệ và hình phạt bổ sung khi sử dụng biển số giả"
66,"Xe máy không có gương chiếu hậu bị phạt không?","Hành vi điều khiển xe mô tô không có gương chiếu hậu bên trái người điều khiển","Mức phạt tiền đối với xe máy thiếu gương chiếu hậu hoặc gương không có tác dụng","Quy định điều kiện an toàn kỹ thuật về gương chiếu hậu của xe mô tô"
67,"Xe ô tô hết hạn đăng kiểm có được tham gia giao thông không?","Hành vi điều khiển xe ô tô có giấy chứng nhận kiểm định an toàn kỹ thuật hết hạn","Mức phạt tiền đối với ô tô hết hạn đăng kiểm tham gia giao thông","Hình phạt bổ sung và biện pháp xử lý đối với xe quá hạn kiểm định"
68,"Ô tô không có bảo hiểm trách nhiệm dân sự bị phạt thế nào?","Hành vi điều khiển ô tô không có giấy chứng nhận bảo hiểm trách nhiệm dân sự bắt buộc","Mức phạt tiền đối với chủ xe hoặc người lái ô tô không có bảo hiểm bắt buộc","Quy định giấy tờ phải mang theo khi điều khiển ô tô gồm bảo hiểm trách nhiệm dân sự"
69,"Xe máy thay đổi kết cấu có bị xử phạt không?","Hành vi tự ý thay đổi khung máy hình dáng kích thước đặc tính của xe mô tô","Mức phạt tiền đối với chủ xe máy tự ý thay đổi kết cấu xe","Biện pháp khắc phục hậu quả buộc khôi phục tình trạng ban đầu khi thay đổi kết cấu xe"
70,"Lắp thêm đèn trợ sáng sai quy định có bị phạt không?","Hành vi lắp thêm đèn chiếu sáng đèn trợ sáng không đúng thiết kế của xe","Mức phạt tiền đối với xe máy ô tô lắp đèn không đúng quy định an toàn kỹ thuật","Biện pháp xử lý buộc tháo bỏ thiết bị lắp thêm sai quy định trên phương tiện"
71,"Xe máy chở ba người bị xử phạt thế nào?","Hành vi xe mô tô chở quá số người quy định chở ba người trên xe","Mức phạt tiền đối với người điều khiển xe máy chở từ ba người trở lên","Các trường hợp ngoại lệ được chở thêm người trên xe máy như cấp cứu trẻ em áp giải người vi phạm"
72,"Xe máy chở hàng cồng kềnh bị phạt bao nhiêu?","Hành vi xe máy chở hàng hóa vượt quá giới hạn kích thước hoặc cồng kềnh gây mất an toàn","Mức phạt tiền đối với người điều khiển xe mô tô chở hàng cồng kềnh","Quy định xếp hàng hóa trên xe máy và biện pháp xử lý khi gây cản trở giao thông"
73,"Ô tô chở quá tải bị xử lý ra sao?","Hành vi điều khiển ô tô tải chở hàng vượt quá trọng tải cho phép tham gia giao thông","Mức phạt tiền đối với lái xe và chủ xe chở hàng quá tải theo tỷ lệ phần trăm quá tải","Biện pháp khắc phục hậu quả buộc hạ phần hàng quá tải hoặc khôi phục tình trạng đường bộ"
74,"Xe tải chở hàng vượt quá chiều cao cho phép bị phạt thế nào?","Hành vi xe tải chở hàng vượt quá chiều cao xếp hàng cho phép","Mức phạt tiền đối với lái xe tải chở hàng quá chiều cao theo quy định","Biện pháp buộc hạ phần hàng vượt quá chiều cao và quy định xếp hàng trên xe tải"
75,"Chở người trên thùng xe tải có bị xử phạt không?","Hành vi chở người trên thùng xe tải trái quy định khi tham gia giao thông","Mức phạt tiền đối với tài xế xe tải chở người trên thùng xe","Trường hợp được phép chở người trên thùng xe tải và điều kiện an toàn kèm theo"
76,"Xe khách chở quá số người quy định bị xử lý như thế nào?","Hành vi xe ô tô chở khách chở quá số người được phép chở","Mức phạt tiền đối với lái xe khách và đơn vị kinh doanh vận tải chở quá số người","Biện pháp khắc phục hậu quả buộc bố trí phương tiện khác để chở số hành khách vượt quá"
77,"Xe container chở hàng quá khổ có cần giấy phép lưu hành không?","Quy định xe chở hàng siêu trường siêu trọng hoặc hàng quá khổ phải có giấy phép lưu hành","Điều kiện cấp giấy phép lưu hành đặc biệt cho xe container chở hàng quá khổ","Mức phạt đối với phương tiện chở hàng quá khổ không có giấy phép lưu hành"
78,"Người điều khiển xe kéo theo vật khác trên đường có vi phạm không?","Hành vi điều khiển xe kéo theo xe khác vật khác không đúng quy định","Mức phạt tiền đối với xe mô tô ô tô kéo theo vật gây nguy hiểm hoặc cản trở giao thông","Quy định các trường hợp được phép kéo xe và điều kiện an toàn khi kéo"
79,"Xe máy kéo theo xe khác có bị phạt không?","Hành vi xe mô tô kéo theo xe khác hoặc vật khác khi tham gia giao thông","Mức phạt tiền đối với người điều khiển xe máy kéo đẩy xe khác trái quy định","Quy định cấm xe máy kéo theo xe khác gây mất an toàn giao thông"
80,"Chở trẻ em trên xe máy có cần quy định gì đặc biệt không?","Quy định chở trẻ em trên xe mô tô xe gắn máy khi tham gia giao thông","Điều kiện đội mũ bảo hiểm cho trẻ em và ngoại lệ trẻ em dưới 6 tuổi","Quy định số người được chở trên xe máy khi có trẻ em đi cùng"
81,"Gây tai nạn giao thông rồi bỏ chạy bị xử lý thế nào?","Hành vi gây tai nạn giao thông không dừng lại không giữ nguyên hiện trường hoặc bỏ trốn","Mức phạt hành chính đối với người điều khiển phương tiện gây tai nạn rồi bỏ chạy","Trách nhiệm hình sự khi gây tai nạn giao thông rồi bỏ chạy để trốn tránh trách nhiệm"
82,"Khi xảy ra tai nạn giao thông, người điều khiển xe phải làm gì?","Nghĩa vụ của người điều khiển phương tiện khi xảy ra tai nạn giao thông","Quy định dừng xe giữ nguyên hiện trường cấp cứu người bị nạn và báo cơ quan công an","Trách nhiệm pháp lý nếu không thực hiện nghĩa vụ sau khi gây tai nạn giao thông"
83,"Không giữ nguyên hiện trường tai nạn có bị xử phạt không?","Hành vi không giữ nguyên hiện trường sau khi xảy ra tai nạn giao thông","Mức phạt đối với người liên quan tai nạn tự ý thay đổi hiện trường trái quy định","Trường hợp được di chuyển phương tiện hoặc người bị nạn để cấp cứu và bảo đảm an toàn"
84,"Không cứu giúp người bị nạn trong vụ tai nạn giao thông bị xử lý ra sao?","Hành vi không cứu giúp người bị nạn khi có điều kiện sau tai nạn giao thông","Mức phạt hành chính đối với người gây tai nạn không cứu giúp người bị nạn","Trách nhiệm hình sự về tội không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng"
85,"Gây tai nạn do vượt đèn đỏ thì bị xử lý hành chính hay hình sự?","Hành vi không chấp hành đèn tín hiệu giao thông gây tai nạn giao thông","Điều kiện truy cứu trách nhiệm hình sự khi vượt đèn đỏ gây tai nạn nghiêm trọng","Mức phạt hành chính và hình phạt bổ sung đối với lỗi vượt đèn đỏ gây tai nạn"
86,"Lái xe gây tai nạn khi có nồng độ cồn thì bị xử lý thế nào?","Hành vi điều khiển phương tiện có nồng độ cồn gây tai nạn giao thông","Mức phạt hành chính và tước giấy phép lái xe đối với vi phạm nồng độ cồn gây tai nạn","Trách nhiệm hình sự khi lái xe có nồng độ cồn gây thiệt hại về người hoặc tài sản"
87,"Chủ xe giao xe cho người không đủ điều kiện gây tai nạn có chịu trách nhiệm không?","Hành vi giao xe cho người không đủ điều kiện điều khiển phương tiện tham gia giao thông","Trách nhiệm của chủ xe khi giao phương tiện cho người không có giấy phép hoặc chưa đủ tuổi gây tai nạn","Truy cứu trách nhiệm hình sự đối với người giao xe cho người không đủ điều kiện gây hậu quả nghiêm trọng"
